,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
189,메콩타이 성수역점,02-462-2001,아시안식, 아차산로 103 1층,평일 11:00~22:00 | 일요일 휴무 | 토요일 11:00~21:00,http://www.mekongthai.co.kr/,"소고기쌀국수 9,800 | 톰얌쌀국수 11,900 | 나시고렝 11,800 | 파인애플볶음밥 10,800 | 매운해물팟타이 12,900 | 월남쌈(R) 34,800",69
190,슬랙,02-466-2230,양식, 아차산로7나길 14 1층,평일 08:30~23:00 15:00~17:00 break time | 주말 휴무,https://www.instagram.com/slagravine,"슬랙 샐러드 9,000 | 시저 샐러드 16,000 | 리코타치즈 샐러드 17,000 | 알리오 올리오 12,000 | 뽈뽀 오일 파스타 22,000 | 정통 까르보나라 18,000 | 시금치 크림 파스타 15,000 | 명란 크림 파스타 18,000 | 크리미 머쉬룸 파케리 23,000 | 그리너리 항정살 크림 파스타 27,000 | 감베로니 토마토 빠쉐 파스타 17,000 | 베이컨 토마토 파스타 17,000 | 찹스테이크 덮밥 19,000 | 고르곤졸라 피자 17,000 | 할라피뇨 피자 19,000 | 하몽 샐러드 피자 24,000 | 뽈뽀 감바스 알 아히요 26,000 | 항정살 스테이크 32,000 | 찹스테이크 33,000 | 슈바인 학센 34,000 | 오븐 치즈 나쵸 18,000 | 버팔로 윙&나쵸 18,000 | 먹태 18,000 | 멜론&하몽 24,000 | 치즈 플래터 28,000 | 에스프레소 4,000 | 아메리카노 4,000 | 카페라떼 4,600 | 플랫화이트 4,600 | 카푸치노 4,600 | 바닐라라떼 5,300 | 카페모카 5,300 | 카라멜마끼아또 5,300 | 밀크티 5,300 | 다크초코라떼 5,300 | 토피넛라떼 5,300 | 딸기 요거트 스무디 5,800 | 블루베리 요거트 스무디 5,800 | 청포도 요거트 스무디 5,800 | 바닐라슬랙치노 5,800 | 다크초코 슬랙치노 5,800 | 자바칩 슬랙치노 5,800 | 카라멜 슬랙치노 5,800 | 레몬에이드 5,300 | 자몽에이드 5,300 | 플레인 크로플 3,600 | 애플시나몬 크로플 4,800 | 브라운치즈&아이스크림 크로플 6,600",69
191,room dxyz,010-6837-6865,펍, 연무장9길 4 3층,"화요일 18:00~24:00 일,월 휴무 | 금요일 18:00~24:00 일,월 휴무 | 목요일 18:00~24:00 일,월 휴무 | 수요일 18:00~24:00 일,월 휴무 | 토요일 14:00~24:00",http://instagram.com/dx_yz,"타이거 맥주 7,000 | 조롱하이 8,000 | 보자보자 하니끄 8,000 | 띤또 8,000",69
192,숲속식사 철판볶음밥,02-2223-2123,한식, 연무장5가길 7,평일 11:00~20:00 재료 소진시 일찍 마감합니다.,,"숲 볶음밥(대표메뉴) 10,000 | 성수동 볶음밥(나시고랭)*저녁메뉴 9,500 | 치킨데리야끼 볶음밥 9,500 | 해물날치알 볶음밥 9,500 | 김치소고기 볶음밥(인기) 8,500 | 김치치즈 볶음밥 9,000 | 쏘세지야채 볶음밥(인기) 9,000 | 매운 비건 볶음밥 8,500",69
193,구수하당,010-8251-1746,카페/디저트, 광나루로4길 8-1 1층 가운데 점포,일요일 휴무 | 화요일 휴무 | 월요일 휴무 | 토요일 11:00~18:00 수목금토 11시부터 6시 | 금요일 11:00~18:00 수목금토 11시부터 6시 | 목요일 11:00~18:00 수목금토 11시부터 6시 | 수요일 11:00~18:00 수목금토 11시부터 6시,https://smartstore.naver.com/goosoohadang,"비건케이크 6,500 | 드립커피 3,500 | 더치커피 4,000 | 녹차 4,000 | 스위트카페오레 4,500 | 둥굴레몬에이드 4,500",68
194,라 파밀리아,02-2218-5750,양식, 능동로 90 더클래식500 A동 6층,평일 12:00~01:00 | 주말 12:00~23:00,http://www.pentaz.co.kr/restaurant/rose.do,"마르게리타 플렛브레드 피자 30,000 | 고트치즈 까넬로니 25,000 | 리가토니 파스타 28,000 | 토마토를 곁들인 부라타 치즈 샐러드 25,000 | 가지 그라탕 24,000 | 전복리조또 28,000 | 해산물 라구 30,000 | 블랙 타이거 새우와 포르치니 버섯 리조또 28,000 | 봉골레 파스타 25,000 | 까르보나라 파스타 25,000",68
195,도죠,02-498-1255,일식, 성수이로 126,평일 11:30~22:00 14:30~17:30 Break Time 21:00 Last Order | 토요일 11:30~22:00 14:30~17:30 Break Time 21:00 Last Order | 일요일 휴무,,"사케동 변동가격(업주문의) | 유케동 간장 8,500 | 유케동 고추장 8,500 | 규동 8,500 | 가츠동 7,500 | 믹스동 9,000 | 나가사끼 짬뽕 8,500 | 쿠로마유 라멘 8,000 | 카라미소 라멘 8,000 | 탄탄멘 8,000 | 에비가츠나베 8,500 | 연어사시미 변동가격(업주문의) | 육회안주 15,000 | 치킨 가라아게 13,000 | 유린기 14,000 | 오꼬노미야끼 14,000 | 야끼소바 10,000 | 에비마요 14,000 | 어향가지 14,000 | 오뎅나베 14,000 | 타코야끼 6,000 | 고로케 변동가격(업주문의) | 타코와사비 7,500 | 소라와사비 7,500",66
196,일루오리,02-415-5292,한식, 성수일로8길 40,매일 12:00~22:00 15:00 ~ 17:00 브레이크 타임입니다.,,"생오리 한마리 43,000 | 생오리 반마리 28,000 | 양념오리 한마리 49,000 | 양념오리 반마리 31,000 | 모듬오리2 52,000 | 모듬오리3 63,000",64
197,베러초이스,070-7773-2018,카페/디저트, 연무장5길 9-13 2층,매일 12:00~21:00 | 일요일 12:00~21:00 | 토요일 12:00~21:00 | 금요일 12:00~21:00 | 목요일 12:00~21:00 | 수요일 12:00~21:00 | 화요일 12:00~21:00 | 월요일 12:00~21:00,https://blog.naver.com/betterchoice_kr,"비건 앙금빵 3,000",64
198,경양카츠 성수점,,일식, 연무장7가길 1,평일 11:00~13:40 | 토요일 휴무 | 일요일 12:00~20:00 break time 3:30~5:30,,"갈릭카츠 12,400 | 안심카츠 13,900 | 등심카츠 14,400 | 치즈카츠 14,400 | 안심x등심카츠 15,400 | 특등심카츠 18,400",63
199,한서칼국수,02-467-2527,한식, 연무장7길 16 한서빌딩 B1층,평일 11:00~21:00 | 토요일 11:00~16:00 일요일 휴무,,"손칼국수 8,000 | 냉국수 9,000 | 콩국수 9,000 | 수육 중 25,000 | 수육 대 30,000",62
200,로우커피스탠드 성수점,02-499-2387,카페, 연무장길 94 1층,목요일 08:00~16:40 | 수요일 08:00~16:40 | 화요일 08:00~16:40 | 금요일 08:00~16:40 | 월요일 08:00~16:40 | 일요일 10:00~16:40 | 토요일 10:00~16:40,http://instagram.com/rawcoffeestand_official,"에스프레소 2,000 | 아메리카노 2,000 | 카페라떼 2,500 | 바닐라라떼 3,000 | 카푸치노  2,500 | 티 3,500 | 밀크티 4,500 | 초코 3,000 | 콤부차 4,000",60
201,성수로운,02-498-5174,펍, 아차산로7길 28 1층,수요일 12:00~23:30 | 목요일 12:00~23:30 | 금요일 12:00~23:30 | 토요일 12:00~23:30 | 화요일 휴무 | 월요일 휴무 | 일요일 12:00~23:30,https://www.instagram.com/like_seongsu,"SEARED CABBAGE 13,000 | POTATO ROSTI 14,000 | SWEET PUMPKIN GNOCCH 16,000 | SEARED MOZZARELLA 18,000 | SALMON CARPACCHIO 20,000 | BEEF TARTARE 20,000 | COW LIVER 21,000 | LAMB RAGOUT 28,000 | POACHED SALMON 29,000 | BEEF STEAK 39,000",59
202,우야꼬칼국수파전,02-469-6301,한식, 성수일로8길 41,,,"모듬전 20,000 | 해물파전 15,000 | 굴파전 15,000 | 동그랑땡 13,000 | 굴전 12,000 | 동태전 13,000 | 김치전 12,000 | 해물김치전 14,000 | 참치김치전 14,000 | 문어숙회 17,000 | 제육볶음 15,000 | 오돌뼈 15,000 | 오징어볶음 15,000 | 곱창볶음 15,000 | 두부김치 15,000",59
203,아비꼬 성수역점,02-2641-0099,일식," 연무장5가길 25 1층 117,118호",금요일 11:00~20:30 | 목요일 11:00~20:30 | 수요일 11:00~20:30 | 화요일 11:00~20:30 | 월요일 11:00~20:30 | 일요일 11:00~20:30 | 토요일 11:00~20:30,,"기본카레라이스 6,800 | 기본카레우동 6,800 | 기본크림카레파스타 6,800 | 기본하야시라이스 6,800 | 포크세트 14,500 | 치킨세트 14,500 | 쉬림프세트 16,500 | 아비꼬 A세트 28,500 | 아비꼬 B세트 28,500",58
204,구구향훠궈 건대직영점,02-463-6789,일식, 동일로18길 62 1층,,,"훠궈샤브샤브 19,800 | 훠궈샤브샤브 (초등학생) 12,900 | 훠궈샤브샤브 (36개월~7세미만) 5,900",57
205,방춘리,02-468-0344,펍, 연무장7가길 5 1층 방춘리,매일 16:30~00:00,,"육회 19,000 | 한우육전 23,000 | 미나리보리새우전 18,000 | 수제편육 17,000",57
206,성수찜닭,02-497-3663,한식, 아차산로7길 28 1층 성수찜닭,매일 10:30~23:00,,"성수찜닭(소)반마리 20,000 | 성수찜닭(중)한마리 30,000 | 성수찜닭(대)한마리반 40,000 | 콩나물 닭볶음탕(소)반마리 20,000 | 콩나물 닭볶음탕(중)한마리 30,000 | 콩나물 닭볶음탕(대)한마리반 40,000 | 각종 사리(당면,라면,떡,감자,모둠) 2,000~5,000 | 공기밥,날치알 주먹밥,볶음밥,날치알 볶음밥 1,000~4,000 | 각종 주류 3,000~12,000",57
207,북촌손만두 성수역점,02-466-5855,한식, 아차산로7길 7 가동 1층,매일 11:00~22:00 마지막주문 21시,http://www.mandoo.so,"모듬만두 10,500 | 만둣국 8,000 | 피냉면 7,500",56
208,마블상회,02-3409-2188,고기집, 연무장7길 7 1층,평일 15:00~00:00 | 토요일 15:00~00:00 | 일요일 12:00~00:00,https://www.mangoplate.com/restaurants/7TnrGaDGcKYK?utm_source=url&utm_medium=restaurant&utm_campaign=7TnrGaDGcKYK&utm_term=v3_android,"황제주물럭 17,000 | 와규진갈비살 39,000 | 와규살치살 37,000 | 와규안거미살 29,000 | 차돌박이 18,000 | 와규육회 20,000 | 마블캔디목살 16,000 | 사잇살 16,000 | 고추장사잇살 17,000 | 흑돼지 안창살 16,000 | 듀록알밤삼겹살(듀록) 14,000 | 열무냉면(물/비빔) 7,000 | 열무비빔국수 6,000 | 열무냉모밀 8,000 | 멸치국수 6,000 | 옛날도시락 4,000",55
209,매화반점 본점,02-498-1939,중식, 동일로18길 105,토요일 11:30~00:00 | 금요일 11:30~00:00 | 목요일 11:30~00:00 | 수요일 11:30~00:00 | 화요일 11:30~00:00 | 월요일 11:30~00:00 | 일요일 11:30~00:00 | 매일 11:30~00:00,,"양꼬치 14,000 | 크림새우 15,000 | 가지튀김 11,000 | 레몬새우 15,000 | 유림기 15,000 | 양갈비 20,000 | 꿔바로우 13,000",55
210,시골가마솥삼겹살,02-461-1559,고기집, 성수이로 108 보성빌딩 2층,매일 10:00~23:00 일요일.공휴일에는 오후 3시open.토요일 .일요일은 오후 10시까지영업합니다,http://blog.naver.com/cozmos_7,"삼겹살1인분 14,000 | 오겹살1인분 14,000 | 김치전골(찌게.점심메뉴 8,000 | 김치찜(점심메뉴) 8,000 | 열무냉면 7,000 | 열무국수 6,000 | 묵사발 7,000 | 비빔냉면 7,000 | 물냉면 7,000",55
211,전통숯불꼼장어,02-497-9281,한식, 아차산로 116 삼연빌딩 108호 전통숯불꼼장어,"평일 15:30~22:30 일요일,둘째,넷째토요일 휴무 오후22:30  공휴일,토요일에 일찍  마감할수  있습니다",,"잔치국수 5,000 | 꼼장어 13,000 | 소금구이 꼼장어 13,000 | 갈비살 15,000",53
212,기와르,02-499-0794,카페, 광나루로 233 2층,토요일 11:00~21:00 | 금요일 11:00~21:00 | 목요일 11:00~21:00 | 수요일 11:00~21:00 | 월요일 11:00~21:00 | 일요일 11:00~21:00 | 화요일 휴무,http://instagram.com/_kiwaru,"생딸기케이크 7,500 | 스콘 4,500 | 복숭아 6,000 | 라즈베리 6,000 | 아메리카노 4,500 | 카페라떼 5,000 | 바닐라카페라떼 5,300 | 화이트모카 5,500 | 레몬바질 6,000",53
213,마아트 커피 브루어스,010-9990-6183,카페/디저트, 광나루로4길 9 1층 MAAT 커피 브루어스,일요일 휴무 | 금요일 09:00~21:00 | 토요일 09:00~21:00 | 월요일 09:00~21:00 | 목요일 09:00~21:00 | 수요일 09:00~21:00 | 화요일 09:00~21:00,http://instagram.com/maat_coffeebrewers,"아메리카노 4,500 | 라떼 5,000 | 플랫화이트 5,000 | 바닐라라떼 5,500 | MAAT 커피 5,800 | 레몬에이드 5,800 | 복숭아살구밀크티 5,800",51
214,김명자굴국밥전문점,02-3409-2553,씨푸드, 성수이로 113 빌딩,평일 11:00~22:00 | 주말 11:00~21:00,,"굴국밥 6,000 | (특)굴국밥 9,000 | 뚝배기굴밥 7,000 | 굴순두부 6,000 | 굴떡국 7,000 | 굴매생이 7,000 | 매생이굴떡국 8,000 | 콩나물국밥 6,000 | 황태따로국밥 6,000 | 비빔밥 6,000 | 제육볶음 7,000 | 낙지덮밥 7,000 | 꼬막비빔밥 7,000 | 대파육개장 7,000 | 대파굴육개장 9,000 | 굴파전 13,000 | 굴전 13,000 | 굴회무침 15,000 | 쭈꾸미볶음 (2인이상) 13,000 | 돼지보쌈 20,000 | 굴돼지보쌈 30,000 | 꼬막돼지보쌈 30,000 | 홍어삼합 35,000 | 홍어회 30,000 | 삼합모듬 45,000 | 메밀만두 5,000 | 메밀전병 7,000",51
215,호랑도,010-2415-6224,고기집, 성수이로 147 호랑도,금요일 17:00~00:00 | 목요일 17:00~00:00 | 수요일 17:00~00:00 | 화요일 17:00~00:00 | 월요일 17:00~00:00 | 토요일 15:00~00:00 | 일요일 휴무,https://app.catchtable.co.kr/ct/shop/horangdo,"호랑갈비 30,000 | 진(꽃)갈비살 32,000 | 부채살스테이크 32,000 | 윗등심 30,000 | 소갈비살 28,000",50
216,비스트리오,070-7777-1719,양식, 아차산로7가길 3-4 1층,"평일 18:00~23:00 (수,목,금), Last Order 21:00 | 주말 16:00~23:00 Last Order 21:00 | 월요일 휴무 | 화요일 휴무",http://www.instagram.com/bistrio_seoul,디너 변동가격(업주문의),49
217,유스트레스,070-7543-4510,카페/디저트, 연무장7가길 9,주말 13:00~22:00 | 평일 12:00~22:00 | 화요일 휴무,https://www.instagram.com/eustress_official,"카라멜 푸딩 4,500 | 크림브륄레 4,500 | 밤 크림브륄레 5,000 | 소이라떼 4,500 | 화이트 모카 6,000 | 블랙자몽티 5,500 | 바닐라라떼 5,500 | 베리 레몬에이드 5,500",49
218,안씨네쭈꾸미 성수점,02-461-6006,한식, 성수일로12길 30 1층,평일 11:30~22:30 15시에서17시 까지 브레이크타임 입니다 | 일요일 16:30~21:00 | 토요일 휴무,,"쭈꾸미볶음 14,000 | 쭈꾸미새우 16,000 | 쭈꾸미삼겹살 16,000",48
219,클라스카커피랩,02-3409-7701,카페/디저트, 연무장15길 11 에스팩토리 B동 303호 루프탑까페,평일 10:00~18:00 | 토요일 13:00~19:00 | 일요일 휴무,http://claskacoffee.co.kr,"아메리카노 4,500 | 카페라떼 5,000 | 핑크솔트 아인슈페너(ICE) 6,000 | 얼그레이자두소다(ICE) 6,000 | 성수돔 6,500",46
220,무근본,010-5818-1032,펍, 성수일로8길 42 1층 무근본,매일 15:00~03:00,https://www.instagram.com/moogeunbon,"개쌉무근본칵테일 8,000",46
221,써브웨이 성수역점,02-497-2800,양식, 아차산로 113,매일 08:00~22:00,http://www.subway.co.kr/,"이탈리안 비엠티 5,700 | K-바비큐 6,400 | 비엘티 5,700 | 미트볼 5,600 | 햄 4,900 | 참치 4,900 | 로스트 치킨 6,400 | 터키 5,600 | 베지 4,100 | 스테이크 & 치즈 6,900 | 스파이시 이탈리안 6,000 | 치킨데리야끼 6,000 | 세트 메뉴 추가 1,900 | 블랙 포레스트햄 & 에그, 치즈 3,100 | 웨스턴, 에그 & 치즈 3,100 | 베이컨, 에그 & 치즈 3,100 | 스테이크, 에그 & 치즈 4,100 | 해쉬브라운 1,400 | 샐러드 1,700 | 브로콜리 & 체더치즈 수프 2,900 | 베이컨 포테이토 수프 2,900 | 더블 초코칩 쿠키 1,000 | 초코칩 쿠키 1,000 | 오트밀 레이즌 1,000 | 라즈베리 치즈케익 1,000 | 화이트 초코 마카다미아 1,000 | 웨지 포테이토 1,500 | 웨지 세트 추가 2,400 | 쉬림프 6,200 | Cheesy 웨지 포테이토 2,000 | Bacon Cheesy 웨지 포테이토 2,300 | 로티세리 바비큐 치킨 6,400 | 터키 베이컨 아보카도 6,900 | 풀드포크 6,300 | 에그마요 4,600 | 쉬림프 에그마요 랩 5,000 | 치킨 베이컨 미니 랩 2,900 | 스테이크 & 치즈 아보카도 랩 5,700 | 써브웨이 클럽 6,200",45
222,팔각도 성수역점,02-463-7017,한식," 성수일로8길 53 성수동복합시설 1층 105, 106호",매일 12:00~22:00 Breaktime   평일만 14:30~16:30,,"숯불 닭갈비 10,900 | 닭 10마리 목살 13,000 | 닭 13마리 안창살 14,000 | 닭 13마리 연골 12,000 | 무뼈닭발+날치알주먹밥 14,000",44
223,햄찌와베찌,02-498-8210,한식, 아차산로11길 26 1층,평일 11:00~22:00 일요일 휴무 | 토요일 11:00~15:00 일요일 휴무,,"베이컨 찌개 9,000 | 햄 찌개 8,000 | 부대김치찜 12,000",44
224,동대문엽기떡볶이 성수점,02-465-8591,기타, 아차산로7길 28 11호,금요일 10:30~01:10 포장.배달 | 목요일 10:30~01:10 포장.배달 | 수요일 10:30~01:10 포장.배달 | 화요일 10:30~01:10 포장.배달 | 월요일 10:30~01:10 포장.배달 | 주말 10:30~22:00 홀 포장 배달,http://yupddukk.modoo.at/,"엽기떡볶이 14,000 | 엽기반반 14,000 | 엽기오뎅 14,000 | 엽기분모자떡볶이 17,000 | 엽기로제떡볶이 16,000 | 엽기로제반반 16,000 | 엽기로제오뎅 16,000 | 엽기로제분모자떡볶이 19,000 | 엽기크림떡볶이 15,000 | 엽기크림분모자떡볶이 18,000 | 엽기닭볶음탕 24,000 | 2인엽기떡볶이 9,000 | 엽기오돌뼈 14,000 | 엽기무뼈닭발 15,000 | 엽기국물닭발 15,000 | 주먹김밥(셀프) 2,000 | 참치마요밥 3,500 | 엽기오돌뼈밥 4,500 | 버터꿀봉 11,000 | 고추맵봉 11,000 | 오뎅탕 6,000 | 계란찜 2,000 | 계란야채죽 5,000 | 순대 (300g) 3,000 | 엽도그 2,000 | 공기밥 1,000 | 바삭치즈만두 (7개) 2,000 | 만두 (4개) 2,000 | 김말이 (3개) 2,000 | 야채튀김 (1개) 1,000 | 모둠튀김 2,000 | 떡추가 1,000 | 오뎅 추가 1,000 | 중국당면 2,500 | 분모자 2,500 | 치즈 (모짜렐라) 3,000 | 햄 1,000 | 베이컨 3,000 | 퐁당치즈만두 (7개) 2,000 | 계란 (2개) 1,500 | 메추리알 (5개) 1,000 | 우동사리 2,000 | 당면사리 2,000",43
225,Cressong,02-465-3456,양식, 성수일로8길 47 롯데캐슬파크 상가동 105호,금요일 08:00~21:00 LAST ORDER 20:10 | 목요일 08:00~21:00 LAST ORDER 20:10 | 수요일 08:00~21:00 LAST ORDER 20:10 | 화요일 08:00~21:00 LAST ORDER 20:10 | 월요일 08:00~21:00 LAST ORDER 20:10 | 평일 08:00~21:00 LAST ORDER 20:10 | 토요일 08:00~20:00 LAST ORDER 19:10 | 일요일 휴무,http://instagram.com/cressong_,"크레송 파니니 5,000 | 야채 파니니 4,500 | 엔쵸비 오일 파스타 7,700 | 스피나치 그린오일 파스타 10,900 | 버섯크림 파스타 8,800 | 아마트리치아나토마토파스타 8,800 | 봉골레 파스타 11,900",42
226,카우보이라멘,070-4105-2971,일식," 연무장길 33 , B1F",월요일 11:00~21:00 break time 14-17 | 화요일 11:00~21:00 break time 14-17 | 수요일 11:00~21:00 break time 14-17 | 목요일 11:00~21:00 break time 14-17 | 금요일 11:00~21:00 break time 14-17 | 주말 13:00~22:00 break time 16 - 17,https://www.instagram.com/cowboyramenclub/,"쇼유라멘 9,000 | 마제라멘 9,000 | 카우보이라멘 12,000",41
227,뚝도농원,02-499-3330,한식, 아차산로 82 1층,,https://www.instagram.com/p/CZIhRbAPabF/?utm_medium=copy_link,"통오리 한마리 98,000 | 가마솥 오리탕 35,000 | 생오리 로스구이(1인분) 18,000 | 부속 모둠 23,000 | 부속 단품(목살/근위/염통) 12,000 | 연탄주물럭 18,000 | 오리알 순두부찌개 12,000 | 냉국수 10,000 | 야채 모둠 10,000 | 구황작물 7,000 | 오리불백-점심특선(평일) 14,000 | 오리곰탕-점심특선(평일) 10,000",41
228,YND,070-4145-5546,양식, 연무장5가길 20 2층 YND,매일 11:30~21:00 break time : 14:30 ~ 16:30 | 공휴일 11:30~21:00 break time : 14:30 ~ 16:30,,"쉬림프 또띠아 24,000 | 치킨 필라프 18,000 | 가지그라탕 21,000 | 비프 큐브 스테이크 24,000 | 알리오 올리오 16,000 | 봉골레 파스타 18,000 | 비프 크림파스타 18,000 | 라구 파스타 19,000 | 로제 파스타 19,000 | 비프필라프 18,000 | 트리플 풍기 샐러드 14,000 | 미니토마토 샐러드 15,000 | 아보카도 보트 8,000 | 레몬청 에이드 4,500 | 자몽청 에이드 4,500 | 청포도청 에이드 4,500 | 기네스 8,000 | 에델바이스 7,000 | 하이네켄 7,000 | 하이볼 6,000 | 코카콜라 2,500 | 제로콜라 2,500 | 스프라이트 2,500 | 산펠레그리노 탄산수 3,000",41
229,카페 와일드월 WILDWALL,010-4647-2954,카페/디저트, 연무장길 29-1 2층,,https://www.instagram.com/wildwall.seoul,"AMERICANO 5,000",39
230,씨씨씨,070-8882-4368,양식, 연무장15길 11 가동 (B) 301호,,https://www.instagram.com/ccc_terrace_bar,"런치박스 9,000 | 와인리스트 49,000 | 맥 앤 치즈 13,000 | 베이컨핀쵸 15,000 | 엔쵸비 오일 파스타 20,000 | 소시지앤 포테이토 로스트 23,000 | 샤퀴테리 38,000",39
231,나이스두잉 버거샵,02-2223-2100,양식, 연무장5가길 7 115호,평일 11:00~21:00 Break time 15:00 ~ 16:30 / L.O 20:30 | 주말 12:00~21:00 Break time X / L.O 20:30,http://www.instagram.com/nicedoingburgershop,"치즈버거 6,800 | 더블치즈버거 9,800 | BLTE버거 9,500 | 아이올리쉬림프버거 8,900 | 와사비쉬림프버거 8,900",39
232,카페조이,02-461-6618,카페, 아차산로11길 11 105호,평일 08:00~20:00 | 공휴일 14:00~21:00 | 주말 14:00~21:00,,"에스프레소 2,900 | 아메리카노 2,900 | 라떼 4,000 | 바닐라라떼 4,500 | 바닐라카푸치노 4,500 | 마끼아또 4,500 | 사이공 4,800 | 더치라떼 4,500 | 오피치에이드 5,000 | 초코라떼 3,800 | 녹차라떼 3,800 | 밀크티 4,000 | 스트로베리라떼 4,000 | 블루베리라떼 4,000 | 더치아메리카노 4,000 | 모카 4,500 | 흑당생강라떼 3,800 | 쿨피치쥬스 3,800 | 복숭아라떼 4,000 | 자몽에이드 5,000 | 블루레몬에이드 5,000 | 생과일쥬스 5,000 | 쿠앤크프라푸치노 5,000 | 모카프라푸치노 5,000 | 녹차프라푸치노 5,000 | 초코프라푸치노 5,000 | 카라멜프라푸치노 5,000 | 플레인요거트스무디 4,800 | 블루베리요거트스무디 4,800 | 스트로베리요거트스무디 4,800 | 유자차 3,500 | 자몽차 3,500 | 레몬차 3,500 | 민트라임에이드 4,000 | 흑당생강차 3,500 | 캐모마일 4,000 | 얼그레이 4,000 | 라벤더 4,000 | 페퍼민트 4,000 | 어니언 베이컨 치아바타 6,000 | 와플 3,500 | 애플쥬스 3,800 | 더치250ml 9,000 | 더치500ml 16,000 | 원두100g 변동가격(업주문의) | 샷그린티라떼 4,800 | 샤케라또 4,500",38
233,러위엔관,02-469-1616,중식, 연무장7가길 10 1층,토요일 11:00~22:00 | 금요일 11:00~22:00 | 목요일 11:00~22:00 | 수요일 11:00~22:00 | 화요일 11:00~22:00 | 화요일 15:30~17:00 Break Time | 수요일 15:30~17:00 Break Time | 목요일 15:30~17:00 Break Time | 금요일 15:30~17:00 Break Time | 토요일 15:30~17:00 Break Time | 월요일 휴무 | 일요일 휴무,https://www.instagram.com/nakwongroup,"우육탕면 8,000 | 홍소우육탕면 8,000 | 우육탕면 (특) 12,000 | 러깐미엔 8,000 | 동파육 12,000 | 동파육바오 6,000 | 멘보샤바오 6,000 | 치킨바오 5,500 | 사천식교자 6,000 | 오이냉채 4,000 | 밀크티 4,000",38
234,성수동양갈비,02-497-4987,고기집, 성수일로12길 33,평일 11:30~22:00 브레이크타임 15:30~17:00 | 토요일 11:30~22:00 브레이크타임 15:30~17:00 | 일요일 휴무 매주 일요일 휴무,,"양갈비 25,000 | 돼지갈비 15,000 | 양곰탕 8,000 | 우거지탕 8,000 | 누룽지탕 5,000",36
235,온슬,010-7226-3226,펍, 연무장7가길 5 3층,평일 17:00~01:00 | 주말 16:00~01:00,https://www.instagram.com/on_seul__,"온슬수육 21,000 | 광어 한접시 29,000 | 우우니 49,000 | 닭목살 깐풍기 17,000 | 생 단새우 31,000",36
236,가족 스시 앤 참치,02-2135-7259,일식, 연무장5가길 25 1층 105호,토요일 11:00~22:00 | 금요일 11:00~22:00 | 목요일 11:00~22:00 | 수요일 11:00~22:00 | 화요일 11:00~22:00 | 월요일 11:00~22:00 | 일요일 휴무 | 화요일 16:00~17:00 브레이크 타임 | 수요일 16:00~17:00 브레이크 타임 | 목요일 16:00~17:00 브레이크 타임 | 금요일 16:00~17:00 브레이크 타임 | 토요일 16:00~17:00 브레이크 타임 | 월요일 16:00~17:00 브레이크 타임,,"점심 특선 8,900 | 특점심특선 10,000 | 오늘의 초밥 12,000 | 연어 지라시 9,000 | 1인 모듬회 20,000 | 모듬회 中 70,000 | 모듬회 大 90,000 | 연어회 35,000 | 참치회 中 70,000 | 참치회 大 90,000 | 참치 스페셜 120,000 | 회 추가 20,000 | 알탕 9,000 | 알밥 7,000 | 회덮밥 8,000 | 연어 회덮밥 9,000 | 참치 육회 덮밥 9,000",36
237,슈에뜨펍,010-6336-8467,펍, 성수이로 96 지하 1층 슈에뜨펍,매일 19:00~03:00,http://instagram.com/chouette_pub,"새우 멘보샤 11,000 | 모듬 소세지 17,000 | 버터 오징어 구이 20,000 | 버팔로 윙&봉 20,000 | 케이준치킨 샐러드 14,000 | 계절과일 플래터 25,000 | 주류안주교환권(홀덤) 20,000",35
238,교촌치킨 성수역점,02-497-1991,기타, 아차산로7길 10-1 1층,매일 12:00~24:00 연중무휴,,"교촌오리지날 16,000 | 교촌허니오리지날 16,000 | 교촌라이스세트 20,000 | 교촌콤보 19,000 | 교촌레드오리지날 17,000 | 교촌윙 19,000 | 교촌스틱 19,000 | 교촌순살[R] 19,000 | 교촌살살치킨 17,000 | 발사믹치킨 18,500 | 교촌허니콤보 20,000 | 교촌치즈트러플순살 19,000 | 교촌레드콤보 20,000 | 교촌레드윙 20,000 | 교촌레드스틱 20,000 | 교촌허니순살[R] 21,000 | 교촌레드순살[R] 20,000 | 교촌반반순살[R] 20,000 | 교촌신화오리지날 18,000 | 교촌신화순살 20,000 | 교촌레허반반순살 22,000",35
